Northeast Regional Climate Center Extreme Precipitation estimates (inches),,,,,,,,,,,,,,
Point Estimates, Smoothed,,,,,,,,,,,,,
Data series, Partial duration series,,,,,,,,,,,,,
State, New York,,,,,,,,,,,,,
Location, ,,,,,,,,,,,,,
Lon (dd),-73.559,,,,,,,,,,,,,
Lat (dd),42.674,,,,,,,,,,,,,
Elev (feet),0,,,,,,,,,,,,,
MEAN PRECIPITATION FREQUENCY ESTIMATES,,,,,,,,,,,,,,
Freq (yr),5-min,10-min,15-min,30-min,60-min,120-min,3-hr,6-hr,12-hr,24-hr,2-day,4-day,7-day,10-day
1,0.28,0.44,0.54,0.71,0.89,1.1,1.26,1.55,1.89,2.3,2.57,2.9,3.48,4
2,0.34,0.53,0.66,0.87,1.09,1.35,1.54,1.87,2.24,2.68,3.02,3.38,4.02,4.59
5,0.41,0.63,0.79,1.06,1.36,1.7,1.94,2.34,2.79,3.3,3.73,4.17,4.83,5.49
10,0.46,0.72,0.91,1.23,1.61,2.01,2.3,2.78,3.3,3.87,4.38,4.9,5.55,6.3
25,0.54,0.86,1.1,1.51,2.01,2.53,2.89,3.48,4.1,4.77,5.41,6.06,6.68,7.55
50,0.61,0.98,1.26,1.76,2.37,3.02,3.45,4.14,4.85,5.6,6.35,7.13,7.68,8.66
100,0.7,1.13,1.46,2.07,2.81,3.58,4.1,4.9,5.72,6.57,7.47,8.38,8.85,9.95
200,0.8,1.3,1.69,2.42,3.34,4.27,4.89,5.82,6.76,7.71,8.79,9.87,10.19,11.43
500,0.96,1.58,2.06,2.99,4.19,5.37,6.15,7.3,8.43,9.55,10.9,12.25,12.3,13.75
,,,,,,,,,,,,,,
UPPER LIMIT PRECIPITATION FREQUENCY ESTIMATES,,,,,,,,,,,,,,
Freq (yr),5-min,10-min,15-min,30-min,60-min,120-min,3-hr,6-hr,12-hr,24-hr,2-day,4-day,7-day,10-day
1,0.33,0.51,0.63,0.84,1.04,1.1,1.31,1.64,2.09,2.52,2.8,3.15,3.75,4.31
2,0.37,0.57,0.7,0.95,1.17,1.31,1.48,1.87,2.39,2.8,3.15,3.48,4.17,4.73
5,0.44,0.68,0.84,1.15,1.47,1.66,1.9,2.4,2.98,3.59,4.02,4.45,5.11,5.79
10,0.52,0.8,0.99,1.38,1.79,2.01,2.38,2.91,3.46,4.35,4.85,5.36,5.99,6.75
25,0.65,0.99,1.23,1.75,2.3,2.58,3.16,3.74,4.37,5.62,6.24,6.83,7.41,8.27
50,0.76,1.16,1.45,2.08,2.8,3.13,3.91,4.55,5.2,6.84,7.55,8.22,8.71,9.63
100,0.91,1.37,1.72,2.48,3.4,3.77,4.85,5.52,6.18,8.33,9.13,9.89,10.21,11.22
200,1.07,1.61,2.04,2.95,4.11,4.54,6.01,6.71,7.36,10.14,11.06,11.91,11.97,13.05
500,1.36,2.02,2.6,3.78,5.37,5.8,8.04,8.68,9.28,13.19,14.24,15.22,14.78,15.93
,,,,,,,,,,,,,,
LOWER LIMIT PRECIPITATION FREQUENCY ESTIMATES,,,,,,,,,,,,,,
Freq (yr),5-min,10-min,15-min,30-min,60-min,120-min,3-hr,6-hr,12-hr,24-hr,2-day,4-day,7-day,10-day
1,0.22,0.34,0.41,0.56,0.68,0.85,0.95,1.18,1.43,1.94,2.19,2.26,2.96,3.55
2,0.33,0.51,0.63,0.86,1.05,1.19,1.34,1.71,2.19,2.6,2.93,3.28,3.93,4.5
5,0.37,0.57,0.7,0.97,1.23,1.39,1.54,1.99,2.55,3.02,3.45,3.91,4.57,5.21
10,0.39,0.6,0.75,1.05,1.35,1.57,1.67,2.21,2.89,3.38,3.89,4.44,5.11,5.83
25,0.43,0.65,0.81,1.16,1.52,1.84,1.87,2.54,3.32,3.93,4.58,5.3,5.9,6.78
50,0.45,0.69,0.86,1.24,1.67,2.09,2.04,2.83,3.68,4.4,5.19,6.05,6.62,7.63
100,0.49,0.74,0.93,1.34,1.83,2.38,2.21,3.17,4.07,4.9,5.89,6.93,7.42,8.61
200,0.56,0.84,1.06,1.54,2.15,2.72,2.39,3.56,4.5,5.46,6.69,7.95,8.32,9.75
500,0.59,0.88,1.13,1.64,2.33,3.26,2.61,4.15,5.15,6.3,7.96,9.54,9.73,11.51
,,,,,,,,,,,,,,
Date/time: Tue Jul 17 16:09:22 EDT 2018,,,,,,,,,,,,,,
